,Unnamed: 0,cartservice_redis-cart,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,frontend_adservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,recommendationservice_productcatalogservice,unknown_frontend
0,0,0.3464,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1153594771241835,65.17857142857143,5.0,5.00316856780735,5.674827369742625,5.0,5.019685039370079,17.923387096774192
1,2,0.3464,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1153594771241835,65.17857142857143,5.0,5.00316856780735,5.674827369742625,5.0,5.019685039370079,17.923387096774192
2,4,0.3464,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1153594771241835,65.17857142857143,5.0,5.00316856780735,5.674827369742625,5.0,5.019685039370079,17.923387096774192
3,6,0.4724,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.015243902439025,62.5,5.004325259515571,5.0,5.454117647058824,5.166666666666666,5.0,16.890243902439025
4,8,0.548,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.015243902439025,62.5,5.004325259515571,5.0,5.454117647058824,5.166666666666666,5.0,16.890243902439025
5,10,0.5984,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.015243902439025,62.5,5.004325259515571,5.0,5.454117647058824,5.166666666666666,5.0,16.890243902439025
6,12,0.5843809523809523,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.540136946386947,75.00000000000001,5.0039556962025316,5.0,6.234537357743692,5.0,5.0,18.617021276595747
7,14,0.5738666666666666,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.540136946386947,75.00000000000001,5.0039556962025316,5.0,6.234537357743692,5.0,5.0,18.617021276595747
8,16,0.5656888888888889,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.540136946386947,75.00000000000001,5.0039556962025316,5.0,6.234537357743692,5.0,5.0,18.617021276595747
9,18,0.59528,5.7142857142857135,5.0,5.0,5.0,5.0,5.0,5.336410256410256,5.5279503105590075,83.33333333333334,5.088289962825279,5.074416534810126,6.137387387387388,5.0,5.017123287671234,19.407894736842106
10,20,0.619490909090909,5.7142857142857135,5.0,5.0,5.0,5.0,5.0,5.336410256410256,5.5279503105590075,83.33333333333334,5.088289962825279,5.074416534810126,6.137387387387388,5.0,5.017123287671234,19.407894736842106
11,22,0.6396666666666667,5.7142857142857135,5.0,5.0,5.0,5.0,5.0,5.336410256410256,5.5279503105590075,83.33333333333334,5.088289962825279,5.074416534810126,6.137387387387388,5.0,5.017123287671234,19.407894736842106
12,24,0.6495111111111112,5.0,5.0,5.0,5.0,5.0,5.0,5.024038461538462,5.0,78.57142857142857,5.004317789291882,5.012716417428118,5.327231121281464,5.0,5.0,17.008196721311474
13,26,0.6593555555555556,5.0,5.0,5.0,5.0,5.0,5.0,5.024038461538462,5.0,78.57142857142857,5.004317789291882,5.012716417428118,5.327231121281464,5.0,5.0,17.008196721311474
14,28,0.6692,5.0,5.0,5.0,5.0,5.0,5.0,5.024038461538462,5.0,78.57142857142857,5.004317789291882,5.012716417428118,5.327231121281464,5.0,5.0,17.008196721311474
15,30,0.6640111111111111,5.0,5.0,5.0,5.0,5.0,5.0,5.062850140056022,5.046487999386551,100.0,5.008896797153024,5.0113765642775885,5.291162298742508,5.15625,5.0,18.023255813953487
16,32,0.6588222222222223,5.0,5.0,5.0,5.0,5.0,5.0,5.062850140056022,5.046487999386551,100.0,5.008896797153024,5.0113765642775885,5.291162298742508,5.15625,5.0,18.023255813953487
17,34,0.6536333333333334,5.0,5.0,5.0,5.0,5.0,5.0,5.062850140056022,5.046487999386551,100.0,5.008896797153024,5.0113765642775885,5.291162298742508,5.15625,5.0,18.023255813953487
18,36,0.6404888888888891,5.0,5.0,5.0,5.0,5.0,5.0,5.047619047619048,5.063914073348036,44.00000000000001,5.018034309014883,5.0088200732702015,5.6987732095490715,5.0,5.0,17.905405405405407
19,38,0.6273444444444446,5.0,5.0,5.0,5.0,5.0,5.0,5.047619047619048,5.063914073348036,44.00000000000001,5.018034309014883,5.0088200732702015,5.6987732095490715,5.0,5.0,17.905405405405407
20,40,0.6142000000000001,5.0,5.0,5.0,5.0,5.0,5.0,5.047619047619048,5.063914073348036,44.00000000000001,5.018034309014883,5.0088200732702015,5.6987732095490715,5.0,5.0,17.905405405405407
21,42,0.606088888888889,6.000000000000001,5.0,5.0,6.25,5.0,5.0,5.4979830296286,6.711836283185841,75.00000000000001,5.361610644749629,5.408791720806919,8.555676424050633,5.0675675675675675,5.5680592991913755,24.09090909090909
22,44,0.5979777777777778,6.000000000000001,5.0,5.0,6.25,5.0,5.0,5.4979830296286,6.711836283185841,75.00000000000001,5.361610644749629,5.408791720806919,8.555676424050633,5.0675675675675675,5.5680592991913755,24.09090909090909
23,46,0.5898666666666667,6.000000000000001,5.0,5.0,6.25,5.0,5.0,5.4979830296286,6.711836283185841,75.00000000000001,5.361610644749629,5.408791720806919,8.555676424050633,5.0675675675675675,5.5680592991913755,24.09090909090909
24,48,0.5850888888888889,7.777777777777778,5.674603174603176,5.833333333333333,377.5,5.803571428571429,5.416666666666666,5.217391304347826,6.182539682539683,2375.0,5.325305793517619,5.307267307228169,8.574519230769232,5.069444444444445,5.190232147705675,26.66666666666667
25,50,0.580311111111111,7.777777777777778,5.674603174603176,5.833333333333333,377.5,5.803571428571429,5.416666666666666,5.217391304347826,6.182539682539683,2375.0,5.325305793517619,5.307267307228169,8.574519230769232,5.069444444444445,5.190232147705675,26.66666666666667
26,52,0.5755333333333331,7.777777777777778,5.674603174603176,5.833333333333333,377.5,5.803571428571429,5.416666666666666,5.217391304347826,6.182539682539683,2375.0,5.325305793517619,5.307267307228169,8.574519230769232,5.069444444444445,5.190232147705675,26.66666666666667
27,54,0.5730888888888886,5.166666666666666,5.0,5.0,377.5,5.0,5.0,5.0957002902757615,5.382833984657692,1125.0,5.005219206680584,5.005973715651136,6.947492163009404,5.0,5.01865671641791,22.129629629629626
28,56,0.5706444444444442,5.166666666666666,5.0,5.0,377.5,5.0,5.0,5.0957002902757615,5.382833984657692,1125.0,5.005219206680584,5.005973715651136,6.947492163009404,5.0,5.01865671641791,22.129629629629626
29,58,0.5681999999999997,5.166666666666666,5.0,5.0,377.5,5.0,5.0,5.0957002902757615,5.382833984657692,1125.0,5.005219206680584,5.005973715651136,6.947492163009404,5.0,5.01865671641791,22.129629629629626
30,60,0.5823222222222221,5.625,5.0,5.0,377.5,5.0,5.3125,5.071886446886447,5.140042701863354,1125.0,5.090503246753247,5.0420384741778115,7.0720175920835615,5.05952380952381,5.0,23.52112676056338
