,source,destination
0,queue-master,rabbitmq
1,shipping,rabbitmq
2,front-end,user
3,user,user-db
4,cartservice,redis-cart
5,front-end,catalogue
6,orders,orders-db
7,orders,user
8,carts,carts-db
9,catalogue,catalogue-db
10,orders,payment
11,checkoutservice,productcatalogservice
12,recommendationservice,productcatalogservice
13,checkoutservice,shippingservice
14,checkoutservice,cartservice
15,frontend,checkoutservice
16,checkoutservice,emailservice
17,frontend,shippingservice
18,frontend,adservice
19,frontend,cartservice
20,frontend,currencyservice
21,checkoutservice,currencyservice
22,unknown,frontend
23,checkoutservice,paymentservice
24,frontend,productcatalogservice
25,frontend,recommendationservice
