,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,loadgenerator_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,2.5,2.857142857142857,37.50000000000001,2.5,2.52212389380531,2.5,28.125,2.5,2.5,2.5,2.5,3.5294117647058827,2.5,2.5,0.039
1,2.5,2.5,2.857142857142857,37.50000000000001,2.5,2.52212389380531,2.5,28.125,2.5,2.5,2.5,2.5,3.5294117647058827,2.5,2.5,0.039
2,2.5,2.5,2.857142857142857,37.50000000000001,2.5,2.52212389380531,2.5,28.125,2.5,2.5,2.5,2.5,3.5294117647058827,2.5,2.5,0.039
3,2.5,,2.7678571428571432,,,2.5,,26.78571428571429,,,2.5,2.5,4.027777777777778,,2.5,0.07686666666666667
4,2.5,,2.7678571428571432,,,2.5,,26.78571428571429,,,2.5,2.5,4.027777777777778,,2.5,0.09958666666666667
5,2.5,,2.7678571428571432,,,2.5,,26.78571428571429,,,2.5,2.5,4.027777777777778,,2.5,0.11473333333333334
6,2.6190476190476195,2.5,2.7,37.50000000000001,2.5,2.5,2.5,27.777777777777775,2.5,2.5,2.5487012987012987,2.5961538461538467,3.4722222222222228,2.5,2.5,0.10837142857142858
7,2.6190476190476195,2.5,2.7,37.50000000000001,2.5,2.5,2.5,27.777777777777775,2.5,2.5,2.5487012987012987,2.5961538461538467,3.4722222222222228,2.5,2.5,0.10360000000000001
8,2.6190476190476195,2.5,2.7,37.50000000000001,2.5,2.5,2.5,27.777777777777775,2.5,2.5,2.5487012987012987,2.5961538461538467,3.4722222222222228,2.5,2.5,0.0998888888888889
9,2.5,,378.7878787878788,,,2.5,,371.2121212121212,,,2.5,2.5,4.666666666666667,,2.5,0.09990666666666667
10,2.5,,378.7878787878788,,,2.5,,371.2121212121212,,,2.5,2.5,4.666666666666667,,2.5,0.09992121212121213
11,2.5,,378.7878787878788,,,2.5,,371.2121212121212,,,2.5,2.5,4.666666666666667,,2.5,0.09993333333333336
12,2.5,,407.40740740740745,750.0,2.5,2.5,2.5,393.5185185185185,2.5,2.5,2.5,2.5,4.642857142857143,2.5,2.5,0.10163888888888893
13,2.5,,407.40740740740745,750.0,2.5,2.5,2.5,393.5185185185185,2.5,2.5,2.5,2.5,4.642857142857143,2.5,2.5,0.10334444444444447
14,2.5,,407.40740740740745,750.0,2.5,2.5,2.5,393.5185185185185,2.5,2.5,2.5,2.5,4.642857142857143,2.5,2.5,0.10505000000000003
15,2.738095238095238,375.0,408.0882352941176,750.0,2.5,2.5181159420289863,2.5,404.4117647058824,2.5,2.5,2.5,2.5,4.852941176470589,2.5,2.5,0.1088555555555556
16,2.738095238095238,375.0,408.0882352941176,750.0,2.5,2.5181159420289863,2.5,404.4117647058824,2.5,2.5,2.5,2.5,4.852941176470589,2.5,2.5,0.11266111111111114
17,2.738095238095238,375.0,408.0882352941176,750.0,2.5,2.5181159420289863,2.5,404.4117647058824,2.5,2.5,2.5,2.5,4.852941176470589,2.5,2.5,0.11646666666666668
18,2.613636363636364,,388.8888888888889,,,2.5,,381.9444444444444,,,2.524271844660194,2.5,4.125,,2.5,0.12145555555555555
19,2.613636363636364,,388.8888888888889,,,2.5,,381.9444444444444,,,2.524271844660194,2.5,4.125,,2.5,0.12644444444444444
20,2.613636363636364,,388.8888888888889,,,2.5,,381.9444444444444,,,2.524271844660194,2.5,4.125,,2.5,0.13143333333333335
21,2.5,375.0,384.6153846153846,750.0,2.5,2.5,2.5,384.6153846153846,2.5,2.5,2.5,2.5,4.464285714285715,2.5,2.5,0.13403333333333334
22,2.5,375.0,384.6153846153846,750.0,2.5,2.5,2.5,384.6153846153846,2.5,2.5,2.5,2.5,4.464285714285715,2.5,2.5,0.13663333333333333
23,2.5,375.0,384.6153846153846,750.0,2.5,2.5,2.5,384.6153846153846,2.5,2.5,2.5,2.5,4.464285714285715,2.5,2.5,0.13923333333333332
24,2.5,,379.4642857142857,,,2.5,,361.1111111111111,,,2.5,2.5,3.928571428571429,,2.5,0.14053333333333332
25,2.5,,379.4642857142857,,,2.5,,361.1111111111111,,,2.5,2.5,3.928571428571429,,2.5,0.14183333333333334
26,2.5,,379.4642857142857,,,2.5,,361.1111111111111,,,2.5,2.5,3.928571428571429,,2.5,0.14313333333333333
27,2.5,375.0,382.1428571428571,750.0,2.5,2.5185185185185186,2.5,378.47222222222223,2.5,2.5,2.5,2.5,3.8888888888888893,2.5,2.5,0.1418222222222222
28,2.5,375.0,382.1428571428571,750.0,2.5,2.5185185185185186,2.5,378.47222222222223,2.5,2.5,2.5,2.5,3.8888888888888893,2.5,2.5,0.14051111111111111
29,2.5,375.0,382.1428571428571,750.0,2.5,2.5185185185185186,2.5,378.47222222222223,2.5,2.5,2.5,2.5,3.8888888888888893,2.5,2.5,0.1392
30,2.916666666666667,416.66666666666663,343.75,1000.0,2.5,2.5614754098360657,2.5,337.962962962963,2.5,2.5,2.5276243093922655,2.5,3.75,2.5,2.5,0.1357611111111111
