,source,destination
0,cartservice,redis-cart
1,checkoutservice,productcatalogservice
2,recommendationservice,productcatalogservice
3,frontend,shippingservice
4,frontend,cartservice
5,checkoutservice,currencyservice
6,frontend,currencyservice
7,checkoutservice,paymentservice
8,checkoutservice,shippingservice
9,checkoutservice,cartservice
10,frontend,checkoutservice
11,unknown,frontend
12,frontend,productcatalogservice
13,checkoutservice,emailservice
14,frontend,recommendationservice
15,frontend,adservice
