,source,destination
0,cartservice,redis-cart
1,frontend,recommendationservice
2,checkoutservice,cartservice
3,checkoutservice,currencyservice
4,checkoutservice,emailservice
5,recommendationservice,productcatalogservice
6,frontend,cartservice
7,checkoutservice,shippingservice
8,frontend,shippingservice
9,frontend,adservice
10,frontend,currencyservice
11,checkoutservice,paymentservice
12,checkoutservice,productcatalogservice
13,frontend,checkoutservice
14,unknown,frontend
15,frontend,productcatalogservice
