,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,2.5,2.5446428571428568,17.5,2.5,2.5,2.5,2.5,,2.5,2.5,3.1578947368421058,2.5,2.5,0.11393333333333333
1,2.5,2.5,2.5446428571428568,17.5,2.5,2.5,2.5,2.5,,2.5,2.5,3.1578947368421058,2.5,2.5,0.11393333333333333
2,2.5,2.5,2.5446428571428568,17.5,2.5,2.5,2.5,2.5,,2.5,2.5,3.1578947368421058,2.5,2.5,0.11393333333333333
3,2.5,,2.5378787878787876,,,2.5,,,,2.5,2.5,2.712765957446808,,2.5,0.12033333333333333
4,2.5,,2.5378787878787876,,,2.5,,,,2.5,2.5,2.712765957446808,,2.5,0.12417333333333333
5,2.5,,2.5378787878787876,,,2.5,,,,2.5,2.5,2.712765957446808,,2.5,0.12673333333333334
6,2.5,2.5,2.5,31.25,2.5,2.5,2.5,3.75,2.5,2.5,2.5,2.7314814814814814,2.5,2.5,0.12496190476190475
7,2.5,2.5,2.5,31.25,2.5,2.5,2.5,3.75,2.5,2.5,2.5,2.7314814814814814,2.5,2.5,0.12363333333333332
8,2.5,2.5,2.5,31.25,2.5,2.5,2.5,3.75,2.5,2.5,2.5,2.7314814814814814,2.5,2.5,0.12259999999999999
9,2.5,2.5,2.5,25.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.884615384615384,2.5,2.5,0.13812
10,2.5,2.5,2.5,25.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.884615384615384,2.5,2.5,0.15081818181818182
11,2.5,2.5,2.5,25.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.884615384615384,2.5,2.5,0.16140000000000002
12,2.5,2.5,2.5,31.25,2.5,2.5,2.5,2.5,2.5,2.5072463768115942,2.5,3.0681818181818183,2.5,2.5,0.15909444444444445
13,2.5,2.5,2.5,31.25,2.5,2.5,2.5,2.5,2.5,2.5072463768115942,2.5,3.0681818181818183,2.5,2.5,0.1567888888888889
14,2.5,2.5,2.5,31.25,2.5,2.5,2.5,2.5,2.5,2.5072463768115942,2.5,3.0681818181818183,2.5,2.5,0.15448333333333333
15,2.5,2.5,2.536764705882353,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,0.15712777777777778
16,2.5,2.5,2.536764705882353,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,0.15977222222222223
17,2.5,2.5,2.536764705882353,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,0.16241666666666668
18,2.5,2.5,2.830188679245283,21.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.1250000000000004,2.5,2.5,0.15992777777777775
19,2.5,2.5,2.830188679245283,21.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.1250000000000004,2.5,2.5,0.15743888888888885
20,2.5,2.5,2.830188679245283,21.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.1250000000000004,2.5,2.5,0.15494999999999995
21,2.5,2.5,2.5,37.50000000000001,2.5,2.512953367875648,2.5,2.5,2.5,2.5,2.5,2.7906976744186047,3.0000000000000004,2.5,0.14902777777777773
22,2.5,2.5,2.5,37.50000000000001,2.5,2.512953367875648,2.5,2.5,2.5,2.5,2.5,2.7906976744186047,3.0000000000000004,2.5,0.14310555555555549
23,2.5,2.5,2.5,37.50000000000001,2.5,2.512953367875648,2.5,2.5,2.5,2.5,2.5,2.7906976744186047,3.0000000000000004,2.5,0.13718333333333324
24,2.5,2.5,2.661290322580645,20.0,2.5,2.511574074074074,2.5,2.5,2.5,2.5135135135135136,2.5,3.414634146341464,2.5,2.5,0.13698333333333326
25,2.5,2.5,2.661290322580645,20.0,2.5,2.511574074074074,2.5,2.5,2.5,2.5135135135135136,2.5,3.414634146341464,2.5,2.5,0.13678333333333326
26,2.5,2.5,2.661290322580645,20.0,2.5,2.511574074074074,2.5,2.5,2.5,2.5135135135135136,2.5,3.414634146341464,2.5,2.5,0.13658333333333325
27,2.5,2.5,2.708333333333333,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,0.1366499999999999
28,2.5,2.5,2.708333333333333,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,0.13671666666666657
29,2.5,2.5,2.708333333333333,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,2.5,0.13678333333333323
30,2.5,2.5,2.740384615384615,41.66666666666667,2.5,2.5103305785123964,2.5,2.5,2.5,2.5079872204472844,2.5,2.926829268292683,2.5,2.5,0.13617777777777768
