,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,loadgenerator_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,,2.5,,,2.5,,20.147058823529413,,,2.5,2.5,4.166666666666667,,2.5,0.14326666666666668
1,2.5,,2.5,,,2.5,,20.147058823529413,,,2.5,2.5,4.166666666666667,,2.5,0.14326666666666668
2,2.5,2.5,2.65625,37.50000000000001,2.5,2.5,2.5,21.250000000000004,2.5,2.5,2.5,2.5,3.6764705882352944,2.5,2.5,0.1355111111111111
3,2.5,2.5,2.65625,37.50000000000001,2.5,2.5,2.5,21.250000000000004,2.5,2.5,2.5,2.5,3.6764705882352944,2.5,2.5,0.13163333333333332
4,2.5,2.5,2.65625,37.50000000000001,2.5,2.5,2.5,21.250000000000004,2.5,2.5,2.5,2.5,3.6764705882352944,2.5,2.5,0.12930666666666665
5,2.5,,2.6515151515151514,,,2.5,,23.500000000000004,,,2.5,2.5,3.409090909090909,,2.5,0.12746666666666664
6,2.5,,2.6515151515151514,,,2.5,,23.500000000000004,,,2.5,2.5,3.409090909090909,,2.5,0.12615238095238093
7,2.5,,2.6515151515151514,,,2.5,,23.500000000000004,,,2.5,2.5,3.409090909090909,,2.5,0.12516666666666665
8,2.638888888888889,,3.0172413793103448,,,2.5,,20.500000000000004,,,2.5,2.5,5.1923076923076925,,2.5,0.13295555555555555
9,2.638888888888889,,3.0172413793103448,,,2.5,,20.500000000000004,,,2.5,2.5,5.1923076923076925,,2.5,0.13918666666666665
10,2.638888888888889,,3.0172413793103448,,,2.5,,20.500000000000004,,,2.5,2.5,5.1923076923076925,,2.5,0.1442848484848485
11,2.625,2.5,2.635135135135135,50.0,2.5,2.520661157024793,2.5,377.90697674418607,2.5,2.5,2.512437810945274,2.5,4.305555555555556,2.5,2.5,0.14333888888888888
12,2.625,2.5,2.635135135135135,50.0,2.5,2.520661157024793,2.5,377.90697674418607,2.5,2.5,2.512437810945274,2.5,4.305555555555556,2.5,2.5,0.1424777777777778
13,2.625,2.5,2.635135135135135,50.0,2.5,2.520661157024793,2.5,377.90697674418607,2.5,2.5,2.512437810945274,2.5,4.305555555555556,2.5,2.5,0.14161666666666667
14,2.5,2.5,2.5,175.0,2.5,2.5247524752475248,2.5,375.0,2.5,2.5,2.513888888888889,2.5,5.78125,2.5,2.5,0.14522222222222222
15,2.5,2.5,2.5,175.0,2.5,2.5247524752475248,2.5,375.0,2.5,2.5,2.513888888888889,2.5,5.78125,2.5,2.5,0.14882777777777778
16,2.5,2.5,2.5,175.0,2.5,2.5247524752475248,2.5,375.0,2.5,2.5,2.513888888888889,2.5,5.78125,2.5,2.5,0.15243333333333334
17,2.5,2.5,2.692307692307692,37.50000000000001,2.5,2.5,2.5,379.0322580645161,2.5,2.5,2.5510204081632657,2.5,5.416666666666667,2.5,2.5,0.15196666666666667
18,2.5,2.5,2.692307692307692,37.50000000000001,2.5,2.5,2.5,379.0322580645161,2.5,2.5,2.5510204081632657,2.5,5.416666666666667,2.5,2.5,0.1515
19,2.5,2.5,2.692307692307692,37.50000000000001,2.5,2.5,2.5,379.0322580645161,2.5,2.5,2.5510204081632657,2.5,5.416666666666667,2.5,2.5,0.15103333333333332
20,2.631578947368421,2.5,2.7500000000000004,37.50000000000001,2.5,2.5,2.5,378.57142857142856,2.5,2.5,2.513966480446928,2.5,5.178571428571428,2.5,2.5,0.14657777777777778
21,2.631578947368421,2.5,2.7500000000000004,37.50000000000001,2.5,2.5,2.5,378.57142857142856,2.5,2.5,2.513966480446928,2.5,5.178571428571428,2.5,2.5,0.1421222222222222
22,2.631578947368421,2.5,2.7500000000000004,37.50000000000001,2.5,2.5,2.5,378.57142857142856,2.5,2.5,2.513966480446928,2.5,5.178571428571428,2.5,2.5,0.13766666666666663
23,2.833333333333333,,3.0434782608695654,,,2.5247524752475248,,393.5185185185185,,,2.5,2.5,4.772727272727273,,2.5,0.1368070238571238
24,2.833333333333333,,3.0434782608695654,,,2.5247524752475248,,393.5185185185185,,,2.5,2.5,4.772727272727273,,2.5,0.13594738104758095
25,2.833333333333333,,3.0434782608695654,,,2.5247524752475248,,393.5185185185185,,,2.5,2.5,4.772727272727273,,2.5,0.13508773823803807
26,2.631578947368421,2.5,2.692307692307692,75.00000000000001,2.5,2.5,2.5,379.0322580645161,2.5,2.5,2.5,2.5,6.666666666666666,2.5,2.5,0.13405943580595414
27,2.631578947368421,2.5,2.692307692307692,75.00000000000001,2.5,2.5,2.5,379.0322580645161,2.5,2.5,2.5,2.5,6.666666666666666,2.5,2.5,0.1330311333738702
28,2.631578947368421,2.5,2.692307692307692,75.00000000000001,2.5,2.5,2.5,379.0322580645161,2.5,2.5,2.5,2.5,6.666666666666666,2.5,2.5,0.13200283094178625
29,2.5,,2.844827586206897,,,2.5,,378.6764705882353,,,2.5,2.5,6.785714285714286,,2.5,0.13143060871956402
30,2.5,,2.844827586206897,,,2.5,,378.6764705882353,,,2.5,2.5,6.785714285714286,,2.5,0.1308583864973418
