,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,unknown_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,2.5,2.5510204081632657,23.125,2.5,2.5,2.5,17.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.053200000000000004
1,2.5,2.5,2.5510204081632657,23.125,2.5,2.5,2.5,17.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.053200000000000004
2,2.5,2.5,2.5,21.25,2.5,2.5,2.5,17.647058823529417,2.5,2.5,2.5,2.5,2.548076923076923,2.5,2.5,0.0664
3,2.5,2.5,2.5,21.25,2.5,2.5,2.5,17.647058823529417,2.5,2.5,2.5,2.5,2.548076923076923,2.5,2.5,0.073
4,2.5,2.5,2.5,21.25,2.5,2.5,2.5,17.647058823529417,2.5,2.5,2.5,2.5,2.548076923076923,2.5,2.5,0.07696
5,2.5,2.5,2.5,29.166666666666668,2.5,2.512690355329949,2.5,17.205882352941178,2.5,2.5,2.5079617834394905,2.5,2.5,2.5,2.5,0.07237777777777778
6,2.5,2.5,2.5,29.166666666666668,2.5,2.512690355329949,2.5,17.205882352941178,2.5,2.5,2.5079617834394905,2.5,2.5,2.5,2.5,0.0691047619047619
7,2.5,2.5,2.5,29.166666666666668,2.5,2.512690355329949,2.5,17.205882352941178,2.5,2.5,2.5079617834394905,2.5,2.5,2.5,2.5,0.06665
8,2.5,2.5,2.540322580645161,17.5,2.5,2.5,2.5,17.34375,2.5,2.5,2.5,2.5,2.5531914893617023,2.5,2.5,0.0706962962962963
9,2.5,2.5,2.540322580645161,17.5,2.5,2.5,2.5,17.34375,2.5,2.5,2.5,2.5,2.5531914893617023,2.5,2.5,0.07393333333333332
10,2.5,2.5,2.540322580645161,17.5,2.5,2.5,2.5,17.34375,2.5,2.5,2.5,2.5,2.5531914893617023,2.5,2.5,0.07658181818181818
11,2.5,2.5,2.6470588235294117,375.0,2.5,2.5,2.5,18.720930232558143,2.5,2.5,2.5,2.5,2.804878048780488,2.5,2.5,0.07368333333333332
12,2.5,2.5,2.6470588235294117,375.0,2.5,2.5,2.5,18.720930232558143,2.5,2.5,2.5,2.5,2.804878048780488,2.5,2.5,0.07273333333333332
13,2.5,2.5,2.6470588235294117,375.0,2.5,2.5,2.5,18.720930232558143,2.5,2.5,2.5,2.5,2.804878048780488,2.5,2.5,0.07178333333333331
14,2.5,3.125,2.644927536231884,406.25,2.5,2.512437810945274,2.5,18.112244897959187,2.5,2.5,2.5,2.5,2.8703703703703702,2.5,2.5,0.07418333333333331
15,2.5,3.125,2.644927536231884,406.25,2.5,2.512437810945274,2.5,18.112244897959187,2.5,2.5,2.5,2.5,2.8703703703703702,2.5,2.5,0.07658333333333332
16,2.5,3.125,2.644927536231884,406.25,2.5,2.512437810945274,2.5,18.112244897959187,2.5,2.5,2.5,2.5,2.8703703703703702,2.5,2.5,0.07898333333333331
17,2.5,2.5,2.5431034482758617,375.0,2.5,2.5,2.5,17.211538461538463,2.5,,2.5,2.5,2.6063829787234045,2.5,2.5,0.07825555555555554
18,2.5,2.5,2.5431034482758617,375.0,2.5,2.5,2.5,17.211538461538463,2.5,,2.5,2.5,2.6063829787234045,2.5,2.5,0.07752777777777775
19,2.5,2.5,2.5431034482758617,375.0,2.5,2.5,2.5,17.211538461538463,2.5,,2.5,2.5,2.6063829787234045,2.5,2.5,0.07679999999999997
20,2.5,2.5,2.5,375.0,2.5,2.5,2.5,17.67857142857143,2.5,,2.5,2.5,2.8750000000000004,2.5,2.5,0.07976111111111107
21,2.5,2.5,2.5,375.0,2.5,2.5,2.5,17.67857142857143,2.5,,2.5,2.5,2.8750000000000004,2.5,2.5,0.0827222222222222
22,2.5,2.5,2.5,375.0,2.5,2.5,2.5,17.67857142857143,2.5,,2.5,2.5,2.8750000000000004,2.5,2.5,0.08568333333333332
23,2.5,3.333333333333333,3.1382978723404253,500.0,2.5,2.514124293785311,2.5,21.5,2.5,2.5,2.5079872204472844,2.5,3.141025641025641,2.5,2.5,0.08681666666666664
24,2.5,3.333333333333333,3.1382978723404253,500.0,2.5,2.514124293785311,2.5,21.5,2.5,2.5,2.5079872204472844,2.5,3.141025641025641,2.5,2.5,0.08794999999999996
25,2.5,3.333333333333333,3.1382978723404253,500.0,2.5,2.514124293785311,2.5,21.5,2.5,2.5,2.5079872204472844,2.5,3.141025641025641,2.5,2.5,0.08908333333333328
26,2.5,2.5,2.622950819672131,375.0,2.5,2.5,2.5,17.340425531914892,2.5,2.5,2.5,2.5,2.6020408163265305,2.5,2.5,0.09266111111111107
27,2.5,2.5,2.622950819672131,375.0,2.5,2.5,2.5,17.340425531914892,2.5,2.5,2.5,2.5,2.6020408163265305,2.5,2.5,0.09623888888888886
28,2.5,2.5,2.622950819672131,375.0,2.5,2.5,2.5,17.340425531914892,2.5,2.5,2.5,2.5,2.6020408163265305,2.5,2.5,0.09981666666666665
29,2.5,2.5,2.5,375.0,2.5,2.5,2.5,17.663043478260867,2.5,2.5,2.5,2.5,2.7272727272727275,2.5,2.5,0.1009111111111111
30,2.5,2.5,2.5,375.0,2.5,2.5,2.5,17.663043478260867,2.5,2.5,2.5,2.5,2.7272727272727275,2.5,2.5,0.10200555555555556
