,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,3.333333333333333,3.8414634146341466,50.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4.482758620689655,2.5,2.5,0.04906666666666667
1,2.5,3.333333333333333,3.8414634146341466,50.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4.482758620689655,2.5,2.5,0.04906666666666667
2,2.5,2.5,2.5431034482758617,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5595238095238098,2.5,2.5,0.07864444444444445
3,2.5,2.5,2.5431034482758617,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5595238095238098,2.5,2.5,0.09343333333333334
4,2.5,2.5,2.5431034482758617,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5595238095238098,2.5,2.5,0.10230666666666668
5,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.549019607843138,2.5,2.5,0.09418888888888889
6,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.549019607843138,2.5,2.5,0.0883904761904762
7,2.5,2.5,2.5,37.50000000000001,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.549019607843138,2.5,2.5,0.08404166666666667
8,2.573529411764706,2.5,2.653061224489796,1750.0,2.5,2.5,2.5,375.0,,2.526595744680851,2.5,307.2916666666667,2.5,2.5,0.09052592592592593
9,2.573529411764706,2.5,2.653061224489796,1750.0,2.5,2.5,2.5,375.0,,2.526595744680851,2.5,307.2916666666667,2.5,2.5,0.09571333333333333
10,2.573529411764706,2.5,2.653061224489796,1750.0,2.5,2.5,2.5,375.0,,2.526595744680851,2.5,307.2916666666667,2.5,2.5,0.09995757575757575
11,2.5,5.0,2.5,1750.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.09589444444444443
12,2.5,5.0,2.5,1750.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.09607222222222221
13,2.5,5.0,2.5,1750.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.09624999999999999
14,2.5,2.5,2.5,750.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.0926611111111111
15,2.5,2.5,2.5,750.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.08907222222222222
16,2.5,2.5,2.5,750.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.08548333333333334
17,3.5294117647058827,2.5,5.0,750.0,2.5,2.6630434782608696,2.5,375.0,375.0,375.0,375.0,378.3783783783784,2.5,2.5,0.08501666666666667
18,3.5294117647058827,2.5,5.0,750.0,2.5,2.6630434782608696,2.5,375.0,375.0,375.0,375.0,378.3783783783784,2.5,2.5,0.08455
19,3.5294117647058827,2.5,5.0,750.0,2.5,2.6630434782608696,2.5,375.0,375.0,375.0,375.0,378.3783783783784,2.5,2.5,0.08408333333333333
20,2.5,3.125,3.303571428571429,1000.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.0827111111111111
21,2.5,3.125,3.303571428571429,1000.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.08133888888888888
22,2.5,3.125,3.303571428571429,1000.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.07996666666666666
23,2.5,3.75,3.387096774193548,3750.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.07949999999999999
24,2.5,3.75,3.387096774193548,3750.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.07903333333333332
25,2.5,3.75,3.387096774193548,3750.0,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.07856666666666665
26,2.5,3.75,2.6219512195121952,500.0,2.5,2.516891891891892,2.5,375.0,,375.0,375.0,375.0,2.5,2.5,0.07744999999999998
27,2.5,3.75,2.6219512195121952,500.0,2.5,2.516891891891892,2.5,375.0,,375.0,375.0,375.0,2.5,2.5,0.07633333333333331
28,2.5,3.75,2.6219512195121952,500.0,2.5,2.516891891891892,2.5,375.0,,375.0,375.0,375.0,2.5,2.5,0.07521666666666664
29,2.5,2.692307692307692,2.7717391304347823,583.3333333333333,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.07544444444444441
30,2.5,2.692307692307692,2.7717391304347823,583.3333333333333,2.5,2.5,2.5,375.0,375.0,375.0,375.0,375.0,2.5,2.5,0.07567222222222218
