,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,2.5,2.5,37.50000000000001,2.5,2.510593220338983,2.5,2.5,2.5,2.5,2.5,2.908163265306122,2.5,2.5,0.05779614692353843
1,2.5,2.5,2.5,37.50000000000001,2.5,2.510593220338983,2.5,2.5,2.5,2.5,2.5,2.908163265306122,2.5,2.5,0.05779614692353843
2,2.5,2.5,2.6293103448275863,33.333333333333336,2.5,2.5,2.5,2.5,2.5,2.507598784194529,2.5500000000000003,2.833333333333333,2.5,2.5,0.09931259451546337
3,2.5,2.5,2.6293103448275863,33.333333333333336,2.5,2.5,2.5,2.5,2.5,2.507598784194529,2.5500000000000003,2.833333333333333,2.5,2.5,0.12007081831142585
4,2.5,2.5,2.6293103448275863,33.333333333333336,2.5,2.5,2.5,2.5,2.5,2.507598784194529,2.5500000000000003,2.833333333333333,2.5,2.5,0.13252575258900334
5,2.5,2.5,2.5,37.50000000000001,2.5,2.511111111111111,2.5,2.5,2.5,2.5,2.5,2.5543478260869565,2.5,2.5,0.12719368271305834
6,2.5,2.5,2.5,37.50000000000001,2.5,2.511111111111111,2.5,2.5,2.5,2.5,2.5,2.5543478260869565,2.5,2.5,0.12338506137309764
7,2.5,2.5,2.5,37.50000000000001,2.5,2.511111111111111,2.5,2.5,2.5,2.5,2.5,2.5543478260869565,2.5,2.5,0.1205285953681271
8,2.5,3.333333333333333,3.28125,250.0,2.5,2.5,2.5,5.0,2.5,2.523006134969325,2.5,2.8571428571428577,2.5,2.5,0.1262698625494463
9,2.5,3.333333333333333,3.28125,250.0,2.5,2.5,2.5,5.0,2.5,2.523006134969325,2.5,2.8571428571428577,2.5,2.5,0.13086287629450166
10,2.5,3.333333333333333,3.28125,250.0,2.5,2.5,2.5,5.0,2.5,2.523006134969325,2.5,2.8571428571428577,2.5,2.5,0.13462079663136514
11,2.5,2.5,2.5909090909090913,375.0,2.5,2.511574074074074,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.13213573024541805
12,2.5,2.5,2.5909090909090913,375.0,2.5,2.511574074074074,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.13605271800178984
13,2.5,2.5,2.5909090909090913,375.0,2.5,2.511574074074074,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.13996970575816164
14,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,,2.5087719298245617,2.5,375.0,2.5,2.5,0.13520202606099666
15,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,,2.5087719298245617,2.5,375.0,2.5,2.5,0.13043434636383164
16,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,,2.5087719298245617,2.5,375.0,2.5,2.5,0.12566666666666665
17,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.1236111111111111
18,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.12155555555555554
19,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.1195
20,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.12107777777777778
21,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.12265555555555557
22,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.12423333333333336
23,2.5,2.5,2.5806451612903225,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.12220000000000003
24,2.5,2.5,2.5806451612903225,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.1201666666666667
25,2.5,2.5,2.5806451612903225,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.11813333333333337
26,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.12006666666666671
27,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.12200000000000005
28,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,0.1239333333333334
29,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5581395348837206,375.0,2.5,2.5,0.12371666666666671
30,2.5,2.5,2.5,375.0,2.5,2.5,2.5,375.0,2.5,2.5,2.5581395348837206,375.0,2.5,2.5,0.12350000000000004
