,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.526315789473684,2.692307692307692,2.5375939849624056,43.75000000000001,2.8125,2.5102669404517455,2.5,2.5,2.5,2.5036390101892287,2.5,2.864583333333333,2.5,2.5,0.3382
1,2.526315789473684,2.692307692307692,2.5375939849624056,43.75000000000001,2.8125,2.5102669404517455,2.5,2.5,2.5,2.5036390101892287,2.5,2.864583333333333,2.5,2.5,0.3382
2,2.5240384615384617,2.5,2.5167785234899327,35.714285714285715,2.5,2.5048923679060664,2.5,2.5,2.5,2.5087822014051526,2.542016806722689,3.1842105263157894,2.5,2.5757575757575757,0.27795555555555557
3,2.5240384615384617,2.5,2.5167785234899327,35.714285714285715,2.5,2.5048923679060664,2.5,2.5,2.5,2.5087822014051526,2.542016806722689,3.1842105263157894,2.5,2.5757575757575757,0.24783333333333332
4,2.5240384615384617,2.5,2.5167785234899327,35.714285714285715,2.5,2.5048923679060664,2.5,2.5,2.5,2.5087822014051526,2.542016806722689,3.1842105263157894,2.5,2.5757575757575757,0.22976000000000002
5,2.5,2.5,2.5,23.75,2.5,2.5052410901467503,2.5,2.5,2.5,2.5063291139240507,2.5179856115107913,2.6923076923076925,2.5,2.5,0.23828888888888888
6,2.5,2.5,2.5,23.75,2.5,2.5052410901467503,2.5,2.5,2.5,2.5063291139240507,2.5179856115107913,2.6923076923076925,2.5,2.5,0.24438095238095237
7,2.5,2.5,2.5,23.75,2.5,2.5052410901467503,2.5,2.5,2.5,2.5063291139240507,2.5179856115107913,2.6923076923076925,2.5,2.5,0.24894999999999998
8,2.5,2.5,2.529940119760479,19.375000000000004,2.5,2.5,2.5,2.5,2.5,2.5057670126874276,2.5,2.825203252032521,2.5,2.5,0.2414666666666666
9,2.5,2.5,2.529940119760479,19.375000000000004,2.5,2.5,2.5,2.5,2.5,2.5057670126874276,2.5,2.825203252032521,2.5,2.5,0.23547999999999997
10,2.5,2.5,2.529940119760479,19.375000000000004,2.5,2.5,2.5,2.5,2.5,2.5057670126874276,2.5,2.825203252032521,2.5,2.5,0.23058181818181814
11,2.5227272727272734,2.5,2.7138157894736845,23.125,2.5,2.5,2.5,2.5,2.5,2.5614250614250618,2.5,3.125,2.5,2.5,0.2456944444444444
12,2.5227272727272734,2.5,2.7138157894736845,23.125,2.5,2.5,2.5,2.5,2.5,2.5614250614250618,2.5,3.125,2.5,2.5,0.25183888888888883
13,2.5227272727272734,2.5,2.7138157894736845,23.125,2.5,2.5,2.5,2.5,2.5,2.5614250614250618,2.5,3.125,2.5,2.5,0.2579833333333333
14,2.615740740740741,2.6470588235294117,3.287401574803149,37.5,2.5,2.609126984126984,2.5,2.5,2.5,2.5375722543352603,2.6286764705882355,3.7631578947368425,2.5,2.5,0.2618555555555555
15,2.615740740740741,2.6470588235294117,3.287401574803149,37.5,2.5,2.609126984126984,2.5,2.5,2.5,2.5375722543352603,2.6286764705882355,3.7631578947368425,2.5,2.5,0.26572777777777773
16,2.615740740740741,2.6470588235294117,3.287401574803149,37.5,2.5,2.609126984126984,2.5,2.5,2.5,2.5375722543352603,2.6286764705882355,3.7631578947368425,2.5,2.5,0.2696
17,2.5,2.5,2.5474683544303796,25.0,2.5,2.505050505050505,2.5,2.5,2.5,2.5109409190372,2.5,2.76,2.5,2.5,0.27181111111111106
18,2.5,2.5,2.5474683544303796,25.0,2.5,2.505050505050505,2.5,2.5,2.5,2.5109409190372,2.5,2.76,2.5,2.5,0.27402222222222217
19,2.5,2.5,2.5474683544303796,25.0,2.5,2.505050505050505,2.5,2.5,2.5,2.5109409190372,2.5,2.76,2.5,2.5,0.2762333333333333
20,2.5,2.5,2.5474683544303796,25.0,2.5,2.505050505050505,2.5,2.5,2.5,2.5109409190372,2.5,2.76,2.5,2.5,0.28672222222222216
21,2.5,2.5,2.5474683544303796,25.0,2.5,2.505050505050505,2.5,2.5,2.5,2.5109409190372,2.5,2.76,2.5,2.5,0.29721111111111104
22,2.5,2.5,2.5474683544303796,25.0,2.5,2.505050505050505,2.5,2.5,2.5,2.5109409190372,2.5,2.76,2.5,2.5,0.3076999999999999
23,2.5,2.5,2.5474683544303796,25.0,2.5,2.505050505050505,2.5,2.5,2.5,2.5109409190372,2.5,2.76,2.5,2.5,0.29899444444444434
24,2.5,2.5,2.5474683544303796,25.0,2.5,2.505050505050505,2.5,2.5,2.5,2.5109409190372,2.5,2.76,2.5,2.5,0.29028888888888876
25,2.5,2.5,2.5474683544303796,25.0,2.5,2.505050505050505,2.5,2.5,2.5,2.5109409190372,2.5,2.76,2.5,2.5,0.28158333333333324
