,source,destination
0,cartservice,redis-cart
1,checkoutservice,currencyservice
2,checkoutservice,productcatalogservice
3,checkoutservice,shippingservice
4,checkoutservice,cartservice
5,frontend,productcatalogservice
6,recommendationservice,productcatalogservice
7,loadgenerator,frontend
8,checkoutservice,emailservice
9,checkoutservice,paymentservice
10,frontend,recommendationservice
11,frontend,currencyservice
12,frontend,cartservice
13,frontend,checkoutservice
14,frontend,shippingservice
15,frontend,adservice
