,source,destination
0,front-end,user
1,catalogue,catalogue-db
2,front-end,orders
3,unknown,orders
4,shipping,rabbitmq
5,orders,shipping
6,unknown,front-end
7,orders,payment
8,orders,user
9,user,user-db
10,queue-master,rabbitmq
11,front-end,carts
12,orders,carts
13,unknown,carts
14,front-end,catalogue
15,unknown,catalogue
16,carts,carts-db
17,orders,orders-db
18,unknown,user
19,front-end,carts
20,front-end,catalogue
21,front-end,orders
22,orders,payment
23,orders,shipping
24,front-end,user
25,orders,user
26,orders,carts
