Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/,15589,0,44,178.09181421683547,2.289295196533203,6596.860647201538,8688.0,9.605505256474363,0.0,44,210,260,260,470,680,890,1300,2300,5600,6600,6600
GET,/basket.html,15578,0,290.0,471.51547860909466,3.2279491424560547,13722.590208053589,23020.0,9.59872736451072,0.0,290,500,690,790,1100,1300,1900,2300,4600,9300,14000,14000
DELETE,/cart,15584,0,10,94.10677450944266,5.636930465698242,2468.122959136963,0.0,9.602424396490889,0.0,10,14,310,310,310,310,320,320,340,510,2500,2500
POST,/cart,15583,45,20,121.19831798976723,12.435674667358398,1621.7241287231445,0.18481678752486685,9.601808224494194,0.027727739851263478,20,27,320,320,320,620,620,630,1300,1600,1600,1600
GET,/catalogue,15590,0,9,55.30621000709558,4.840373992919922,3292.124032974243,2795.0,9.606121428471058,0.0,9,10,14,19,220,310,340,630,1400,3100,3300,3300
GET,/category.html,15584,0,56,241.7536186211163,2.674102783203125,9378.164529800415,11518.0,9.602424396490889,0.0,56,260,280,460,670,880,1100,1500,3500,7700,9400,9400
GET,/customers,15586,0,47,64.14376522202738,4.831790924072266,1499.2518424987793,1574.0,9.60365674048428,0.0,47,48,48,49,53,250,350,350,480,1500,1500,1500
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,1794,0,46,211.9220064635261,2.4275779724121094,4910.58611869812,10364.0,1.1054125620703705,0.0,46,220,260,280,520,770,1100,1500,3700,4900,4900,4900
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,1767,0,46,214.45557055125212,2.3953914642333984,4885.900259017944,10364.0,1.0887759181596124,0.0,46,220,270,290,500,710,1100,1500,3200,4900,4900,4900
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,1836,0,45,205.64109593435052,2.416849136352539,3377.739191055298,10364.0,1.1312917859315499,0.0,45,220,270,280,500,690,940,1400,3200,3400,3400,3400
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,1674,0,46,197.6277257094389,2.446889877319336,3914.4198894500732,10364.0,1.0314719224670013,0.0,46,220,260,270,480,680,890,1300,3400,3900,3900,3900
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,1700,0,45,213.22355270385742,2.5141239166259766,4470.690488815308,10364.0,1.0474923943810646,0.0,45,220,270,290,500,810,1100,1500,3200,4500,4500,4500
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,1723,0,46,208.10996538251896,2.4673938751220703,9550.01950263977,10364.0,1.0616643503050438,0.0,46,220,270,290,500,690,900,1200,3400,9600,9600,9600
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,1731,0,45,201.91278311642932,2.3403167724609375,6628.74960899353,10364.0,1.0665937262786016,0.0,45,220,260,270,490,690,1100,1500,3200,6600,6600,6600
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,1638,0,45,204.350000190502,2.349853515625,4216.892957687378,10364.0,1.0092897305859905,0.0,45,220,260,280,480,700,1100,1400,3400,4200,4200,4200
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,1721,0,45,204.01618329679323,2.330780029296875,3366.529941558838,10364.0,1.0604320063116544,0.0,45,220,260,270,500,710,1100,1500,2900,3400,3400,3400
GET,/login,15588,0,55,139.0789707318189,11.049270629882812,690.056324005127,13.0,9.604889084477668,0.0,55,60,350,350,360,370,660,660,670,680,690,690
POST,/orders,15578,1695,40,207.03884944298682,21.168947219848633,1056.5776824951172,558.2430350494287,9.59872736451072,1.0444115343975908,40,70,370,670,680,690,970,980,1000,1000,1100,1100
,Aggregated,155844,1740,45,177.89151030232267,2.289295196533203,13722.590208053589,5852.391673725007,96.02670865289566,1.0721392742488545,45,62,270,310,480,680,980,1300,2800,6400,9600,14000
