,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,unknown_frontend,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,cartservice_redis-cart
0,2.5,2.5,2.5,50.0,2.5,2.5108225108225106,2.5,17.232142857142858,2.5,2.5,2.5,2.5,2.5462962962962963,2.5,2.5,0.2042
1,2.5,2.5,2.5,50.0,2.5,2.5108225108225106,2.5,17.232142857142858,2.5,2.5,2.5,2.5,2.5462962962962963,2.5,2.5,0.2042
2,2.5,2.5,2.5,50.0,2.5,2.5108225108225106,2.5,17.232142857142858,2.5,2.5,2.5,2.5,2.5462962962962963,2.5,2.5,0.20420000000000002
3,2.5,2.5,2.5892857142857144,21.25,2.5,2.5,2.5,17.812500000000004,2.5,2.5,2.5,2.5,2.7777777777777777,2.5,2.5,0.16390000000000002
4,2.5,2.5,2.5892857142857144,21.25,2.5,2.5,2.5,17.812500000000004,2.5,2.5,2.5,2.5,2.7777777777777777,2.5,2.5,0.13972
5,2.5,2.5,2.5892857142857144,21.25,2.5,2.5,2.5,17.812500000000004,2.5,2.5,2.5,2.5,2.7777777777777777,2.5,2.5,0.12360000000000003
6,2.5581395348837206,2.5,2.5,25.0,2.5,2.5,2.5,16.973684210526315,2.5,2.5,2.5,2.5,2.5454545454545454,2.5,2.5,0.12372380952380954
7,2.5581395348837206,2.5,2.5,25.0,2.5,2.5,2.5,16.973684210526315,2.5,2.5,2.5,2.5,2.5454545454545454,2.5,2.5,0.12381666666666669
8,2.5581395348837206,2.5,2.5,25.0,2.5,2.5,2.5,16.973684210526315,2.5,2.5,2.5,2.5,2.5454545454545454,2.5,2.5,0.12388888888888891
9,2.5,,2.638888888888889,,,2.514705882352941,,17.31707317073171,,,2.5,2.5,2.5555555555555562,,2.5,0.11822000000000002
10,2.5,,2.638888888888889,,,2.514705882352941,,17.31707317073171,,,2.5,2.5,2.5555555555555562,,2.5,0.11358181818181819
11,2.5,,2.638888888888889,,,2.514705882352941,,17.31707317073171,,,2.5,2.5,2.5555555555555562,,2.5,0.10971666666666667
12,2.5,2.7777777777777777,3.3510638297872344,50.0,2.5,2.5110132158590313,2.5,21.142857142857142,2.5,2.5,2.5,2.5,3.125,2.5,2.5,0.10426666666666667
13,2.5,2.7777777777777777,3.3510638297872344,50.0,2.5,2.5110132158590313,2.5,21.142857142857142,2.5,2.5,2.5,2.5,3.125,2.5,2.5,0.09881666666666668
14,2.5,2.7777777777777777,3.3510638297872344,50.0,2.5,2.5110132158590313,2.5,21.142857142857142,2.5,2.5,2.5,2.5,3.125,2.5,2.5,0.0933666666666667
15,2.5,2.5,2.65625,37.50000000000001,2.5,2.5,2.5,16.778846153846153,2.5,2.5,2.5,2.5,2.7040816326530615,2.5,2.5,0.09580555555555559
16,2.5,2.5,2.65625,37.50000000000001,2.5,2.5,2.5,16.778846153846153,2.5,2.5,2.5,2.5,2.7040816326530615,2.5,2.5,0.09824444444444448
17,2.5,2.5,2.65625,37.50000000000001,2.5,2.5,2.5,16.778846153846153,2.5,2.5,2.5,2.5,2.7040816326530615,2.5,2.5,0.10068333333333339
18,2.5,2.5,2.5,21.25,2.5,2.5,2.5,15.625,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.10225000000000005
19,2.5,2.5,2.5,21.25,2.5,2.5,2.5,15.625,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.10381666666666671
20,2.5,2.5,2.5,21.25,2.5,2.5,2.5,15.625,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.10538333333333337
21,2.5,2.5,2.638888888888889,37.50000000000001,2.5,2.5,2.5,17.098214285714285,2.5,2.5,2.5,2.5,2.5862068965517246,2.5,2.5,0.1077055555555556
22,2.5,2.5,2.638888888888889,37.50000000000001,2.5,2.5,2.5,17.098214285714285,2.5,2.5,2.5,2.5,2.5862068965517246,2.5,2.5,0.11002777777777782
23,2.5,2.5,2.638888888888889,37.50000000000001,2.5,2.5,2.5,17.098214285714285,2.5,2.5,2.5,2.5,2.5862068965517246,2.5,2.5,0.11235000000000005
24,2.5,2.5,2.8,25.0,2.5,2.5,2.5,45.83333333333335,2.5,2.5,2.5,2.5,3.357142857142857,2.5,2.5,0.11262777777777783
25,2.5,2.5,2.8,25.0,2.5,2.5,2.5,45.83333333333335,2.5,2.5,2.5,2.5,3.357142857142857,2.5,2.5,0.1129055555555556
26,2.5,2.5,2.8,25.0,2.5,2.5,2.5,45.83333333333335,2.5,2.5,2.5,2.5,3.357142857142857,2.5,2.5,0.1131833333333334
27,2.5,3.125,3.6805555555555554,75.00000000000001,2.5,2.5,2.5,390.1515151515151,2.5,2.5,2.5,2.5,5.434782608695653,2.5,2.5,0.11298139323929067
28,2.5,3.125,3.6805555555555554,75.00000000000001,2.5,2.5,2.5,390.1515151515151,2.5,2.5,2.5,2.5,5.434782608695653,2.5,2.5,0.11277945314524794
29,2.5,3.125,3.6805555555555554,75.00000000000001,2.5,2.5,2.5,390.1515151515151,2.5,2.5,2.5,2.5,5.434782608695653,2.5,2.5,0.11257751305120521
30,2.565789473684211,5.0,2.9901960784313726,375.0,2.5,2.5,2.5,349.35897435897436,2.5,,2.5,2.5,3.1756756756756763,2.5,2.5,0.10986947889167055
