Method,Name,Error,Occurrences
POST,/cart,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2
DELETE,/cart,"HTTPConnectionPool(host='39.100.0.61', port=30001): Max retries exceeded with url: /cart (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa9a9cc6f98>: Failed to establish a new connection: [Errno 110] Connection timed out'))",5
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,"HTTPConnectionPool(host='39.100.0.61', port=30001): Max retries exceeded with url: /detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa9a9cdc358>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
POST,/orders,"HTTPConnectionPool(host='39.100.0.61', port=30001): Max retries exceeded with url: /orders (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa9a94246d8>: Failed to establish a new connection: [Errno 110] Connection timed out'))",7
GET,/catalogue,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2
POST,/cart,500 Server Error: Internal Server Error for url: http://39.100.0.61:30001/cart,43
GET,/catalogue,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",13
POST,/cart,"HTTPConnectionPool(host='39.100.0.61', port=30001): Max retries exceeded with url: /cart (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa9a944b5c0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",4
GET,/login,"HTTPConnectionPool(host='39.100.0.61', port=30001): Max retries exceeded with url: /login (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa9a93abfd0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
GET,/customers,"HTTPConnectionPool(host='39.100.0.61', port=30001): Max retries exceeded with url: /customers (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa9a9454710>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
DELETE,/cart,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",2
GET,/catalogue,"HTTPConnectionPool(host='39.100.0.61', port=30001): Max retries exceeded with url: /catalogue (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa9a93bfe10>: Failed to establish a new connection: [Errno 110] Connection timed out'))",29
GET,/category.html,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
POST,/orders,406 Client Error: Not Acceptable for url: http://39.100.0.61:30001/orders,3568
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
POST,/orders,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
GET,/basket.html,"HTTPConnectionPool(host='39.100.0.61', port=30001): Max retries exceeded with url: /basket.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa9a9454978>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
POST,/orders,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",5
GET,/basket.html,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",5
GET,/customers,"('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))",1
GET,/,"HTTPConnectionPool(host='39.100.0.61', port=30001): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa9a9498828>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
POST,/cart,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",2
