,source,destination
0,shipping,rabbitmq
1,user,user-db
2,cartservice,redis-cart
3,carts,carts-db
4,orders,orders-db
5,queue-master,rabbitmq
6,frontend,checkoutservice
7,recommendationservice,productcatalogservice
8,checkoutservice,shippingservice
9,checkoutservice,cartservice
10,frontend,recommendationservice
11,frontend,shippingservice
12,loadgenerator,frontend
13,checkoutservice,productcatalogservice
14,frontend,productcatalogservice
15,frontend,currencyservice
16,checkoutservice,emailservice
17,checkoutservice,paymentservice
18,frontend,adservice
19,frontend,cartservice
20,checkoutservice,currencyservice
