,Unnamed: 0,carts_carts-db,catalogue_catalogue-db,front-end_carts,front-end_catalogue,front-end_orders,front-end_user,orders_carts,orders_orders-db,orders_payment,orders_shipping,orders_user,queue-master_rabbitmq,shipping_rabbitmq,unknown_front-end,user_user-db
Unnamed: 0,1.0,-0.7245341818441371,-0.565777982621261,0.5613074103439025,-0.548524238616254,0.8664150131607272,-0.4777363608018754,-0.6381351097961881,-0.6821825698498807,0.8622652880332945,-0.6503059097771993,-0.17899305653620604,-0.6396476045752103,-0.5817072158453224,-0.8851574918510213,0.09871286246922634
carts_carts-db,-0.7245341818441371,1.0,0.9595070801181148,-0.3247271758144702,0.9385746415122587,-0.46348877843613245,0.41659103579542683,0.7760397597204894,0.9741183435743693,-0.457592042515838,0.8963884483462129,0.6751972628347154,0.5444447920380492,0.9441219290128674,0.6108046681562729,0.07389030534401164
catalogue_catalogue-db,-0.565777982621261,0.9595070801181148,1.0,-0.2624093684231678,0.9942725910068932,-0.3550870371459237,0.22774725818157648,0.8127817704188971,0.9842615903309552,-0.35027574760735947,0.8622560296962304,0.8439103819628047,0.5001757726692628,0.9002005498526849,0.5422375281228605,0.2956975637502489
front-end_carts,0.5613074103439025,-0.3247271758144702,-0.2624093684231678,1.0,-0.2695349648973473,0.5865731734014674,-0.09561301804045275,-0.23895802047176068,-0.30397838755832646,0.5828586597983131,-0.13588113762448142,-0.0364654110824485,-0.09138005359486454,-0.2070234814094912,-0.4819693645168971,-0.0749036800296899
front-end_catalogue,-0.548524238616254,0.9385746415122587,0.9942725910068932,-0.2695349648973473,1.0,-0.369093392908945,0.13971084247807128,0.8282585647501401,0.9803401528700235,-0.36524904163764316,0.8450330547968888,0.8775855020767721,0.5202527172132585,0.8708107121659517,0.5589907962624927,0.3770754578895799
front-end_orders,0.8664150131607272,-0.46348877843613245,-0.3550870371459237,0.5865731734014674,-0.369093392908945,1.0,-0.20524462490950687,-0.6384751354651012,-0.47958917576238597,0.9999252346304232,-0.4197460592825052,-0.11221498493391224,-0.5266157652961959,-0.34230154216648073,-0.8459826803555909,-0.10325400011961038
front-end_user,-0.4777363608018754,0.41659103579542683,0.22774725818157648,-0.09561301804045275,0.13971084247807128,-0.20524462490950687,1.0,0.05771073238203895,0.2518650366967218,-0.19739621110712408,0.2654233812025045,-0.1787138320155013,-0.0470428353686128,0.4419100464551326,0.23009539407374957,-0.7638361517080896
orders_carts,-0.6381351097961881,0.7760397597204894,0.8127817704188971,-0.23895802047176068,0.8282585647501401,-0.6384751354651012,0.05771073238203895,1.0,0.8566463841353052,-0.6374447454419135,0.7685684397122469,0.7172261280810255,0.638685481183421,0.7035178012406256,0.6733101561518393,0.4731705056851544
orders_orders-db,-0.6821825698498807,0.9741183435743693,0.9842615903309552,-0.30397838755832646,0.9803401528700235,-0.47958917576238597,0.2518650366967218,0.8566463841353052,1.0,-0.4752539414860966,0.9050576308352808,0.790819491164412,0.6196829074593764,0.891966594264647,0.6551288224442889,0.2817889889307511
orders_payment,0.8622652880332945,-0.457592042515838,-0.35027574760735947,0.5828586597983131,-0.36524904163764316,0.9999252346304232,-0.19739621110712408,-0.6374447454419135,-0.4752539414860966,1.0,-0.41568097117026803,-0.11203494169077866,-0.528278823868556,-0.3359536750100496,-0.8453074366370874,-0.10881947403121847
orders_shipping,-0.6503059097771993,0.8963884483462129,0.8622560296962304,-0.13588113762448142,0.8450330547968888,-0.4197460592825052,0.2654233812025045,0.7685684397122469,0.9050576308352808,-0.41568097117026803,1.0,0.6186665756071499,0.7555417356366062,0.8689556416589944,0.5328840836422036,0.12023233390808584
orders_user,-0.17899305653620604,0.6751972628347154,0.8439103819628047,-0.0364654110824485,0.8775855020767721,-0.11221498493391224,-0.1787138320155013,0.7172261280810255,0.790819491164412,-0.11203494169077866,0.6186665756071499,1.0,0.3927288295469311,0.6021526565106509,0.36617733216376547,0.6364256332603957
queue-master_rabbitmq,-0.6396476045752103,0.5444447920380492,0.5001757726692628,-0.09138005359486454,0.5202527172132585,-0.5266157652961959,-0.0470428353686128,0.638685481183421,0.6196829074593764,-0.528278823868556,0.7555417356366062,0.3927288295469311,1.0,0.3862504027624055,0.6946970912336019,0.3175430090948712
shipping_rabbitmq,-0.5817072158453224,0.9441219290128674,0.9002005498526849,-0.2070234814094912,0.8708107121659517,-0.34230154216648073,0.4419100464551326,0.7035178012406256,0.891966594264647,-0.3359536750100496,0.8689556416589944,0.6021526565106509,0.3862504027624055,1.0,0.379913727329797,-0.0460687248275215
unknown_front-end,-0.8851574918510213,0.6108046681562729,0.5422375281228605,-0.4819693645168971,0.5589907962624927,-0.8459826803555909,0.23009539407374957,0.6733101561518393,0.6551288224442889,-0.8453074366370874,0.5328840836422036,0.36617733216376547,0.6946970912336019,0.379913727329797,1.0,0.22683270562610217
user_user-db,0.09871286246922634,0.07389030534401164,0.2956975637502489,-0.0749036800296899,0.3770754578895799,-0.10325400011961038,-0.7638361517080896,0.4731705056851544,0.2817889889307511,-0.10881947403121847,0.12023233390808584,0.6364256332603957,0.3175430090948712,-0.0460687248275215,0.22683270562610217,1.0
